"filename", "language", "TypeScript JSX", "CSS", "JSON", "Markdown", "TypeScript", "JSON with Comments", "XML", "Python", "JavaScript", "comment", "blank", "total"
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/firebase/functions.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 0, 0, 0, 24, 28, 108
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/footer/footer.module.css", "CSS", 0, 111, 0, 0, 0, 0, 0, 0, 0, 3, 45, 159
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/footer/footer.tsx", "TypeScript JSX", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 75
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/globals.css", "CSS", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/layout.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 42
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/navbar/navbar.module.css", "CSS", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 54, 169
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/navbar/navbar.tsx", "TypeScript JSX", 75, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27, 111
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/page.module.css", "CSS", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 43, 167
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/page.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 76
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/signin/page.module.css", "CSS", 0, 121, 0, 0, 0, 0, 0, 0, 0, 1, 45, 167
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/signin/page.tsx", "TypeScript JSX", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 59
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/signin_button/signin_button.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/signin_button/signin_button.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/signup/page.module.css", "CSS", 0, 123, 0, 0, 0, 0, 0, 0, 0, 1, 46, 170
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/src/app/signup/page.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"/Users/kavin_jey/Desktop/Resume-Analyzer/resume-frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"Total", "-", 431, 726, 9686, 24, 168, 41, 2595, 107, 22, 58, 561, 14419
